"An Introduction to Data Science","https://docs.google.com/file/d/0B6iefdnF22XQeVZDSkxjZ0Z5VUE/edit?pli=1"
"School of Data Handbook","http://schoolofdata.org/handbook/"
"Data Jujitsu: The Art of Turning Data into Product","http://www.oreilly.com/data/free/data-jujitsu.csp"
"The Data Science Handbook","http://www.thedatasciencehandbook.com/#get-the-book"
"The Data Analytics Handbook","https://www.teamleada.com/handbook"
"Data Driven: Creating a Data Culture","http://www.oreilly.com/data/free/data-driven.csp"
"Building Data Science Teams","http://www.oreilly.com/data/free/building-data-science-teams.csp"
"Understanding the Chief Data Officer","http://www.oreilly.com/data/free/files/understanding-chief-data-officer.pdf"
"The Elements of Data Analytic Style","https://leanpub.com/datastyle"
"Hadoop: The Definitive Guide","https://www.ida.liu.se/~TDDD43/themes/themeNOSQLlabs/2009-Hadoop.pdf"
"Data-Intensive Text Processing with MapReduce","https://lintool.github.io/MapReduceAlgorithms/MapReduce-book-final.pdf"
"Think Python: How to Think Like a Computer Scientist","http://www.greenteapress.com/thinkpython/thinkpython.pdf"
"Python Programming","https://en.wikibooks.org/wiki/Python_Programming"
"Automate the Boring Stuff with Python: Practical Programming for Total Beginners","https://automatetheboringstuff.com/"
"Learn Python the Hard Way","http://learnpythonthehardway.org/book/"
"R Programming for Data Science","https://leanpub.com/rprogramming"
"R Programming","https://en.wikibooks.org/wiki/R_Programming"
"Advanced R","http://adv-r.had.co.nz/"
"Learn SQL The Hard Way","http://sql.learncodethehardway.org/book/"
"SQL Tutorial","http://www.tutorialspoint.com/sql/sql_tutorial.pdf"
"Introduction to Machine Learning","http://arxiv.org/pdf/0904.3664.pdf"
"Machine Learning","http://www.intechopen.com/books/machine_learning"
"Machine Learning – The Complete Guide","https://en.wikipedia.org/wiki/Book:Machine_Learning_%E2%80%93_The_Complete_Guide"
"Social Media Mining An Introduction","http://dmml.asu.edu/smm/book/"
"Data Mining: Practical Machine Learning Tools and Techniques","ftp://ftp.ingv.it/pub/manuela.sbarra/Data%20Mining%20Practical%20Machine%20Learning%20Tools%20and%20Techniques%20-%20WEKA.pdf"
